,0,1,2
367,"Lahemaa RP, Ulliallika sihtkaitsevöönd",59.5058154,25.6485592
368,"Lahemaa RP, Pärlijõe sihtkaitsevöönd",59.49657019999999,25.67049
369,Maidla Lilled OÜ,59.4986173,24.8316536
370,Arctic Spas OÜ,59.5037244,24.826573
371,Juhani Puukool - Viimsi Istikuäri,59.49832669999999,24.8279489
372,Pirita Harbour Camping,59.4671451,24.8245121
373,Tädu loodusõpperada (RMK),59.5203551,24.8953562
374,Maarjamäe Kommunismiohvrite Memoriaal,59.4566501,24.8137212
375,Naissaare peo-ja reisilaev Monica,59.4463666,24.7489146
376,Pirita terviserada,59.4633566,24.855573
377,Elkonte Grupp OÜ,59.50729320000001,24.82177
378,Pandju islet,59.5504682,24.78444739999999
379,Aegna loodusrada,59.573726,24.75716989999999
380,Tallinn Birdsclub,59.48557109999999,24.707393
381,Birds watching viewpoint,59.48258399999999,24.7075318
382,Viimsi mõisa park,59.50308579999999,24.8303986
383,Laidoneri Park,59.5018998,24.8310022
384,Kultusekivi Aegnal hiidtahn,59.5820067,24.772985
385,Tulekivi hiidrahn,59.58191590000001,24.7741956
386,Aegna saar,59.583956,24.75849789999999
387,Sharp-edged stone,59.5822967,24.7743918
388,Paljassaare hoiuala laudtee,59.4757684,24.7178315
389,Põhjarand,59.58558549999999,24.7498074
390,Tädu õpperada,59.50087629999999,24.8371109
391,Sihiotsaalune,59.58357350000001,24.78023469999999
392,Dogs' beach,59.4922266,24.8288724
393,Merivälja park,59.4936174,24.8417815
394,Meriaia haljak,59.4906083,24.84053939999999
395,Soosepa raba,59.4975238,24.8621605
396,Soosepa raba matkarada,59.49699999999999,24.8631
397,Pirita mets,59.46989860000001,24.8328934
398,Sunlines Cruise Co: Aurik Katharina Naissaare laevaliin ja Dinner Cruise Tallinn,59.45310199999999,24.737348
399,Mereakadeemia hoov,59.46197549999999,24.6658984
400,Kase park,59.45828180000001,24.6771904
401,Karjamaa Dog Park,59.45237659999999,24.7113156
402,Süsta park,59.46035879999999,24.6665082
403,Kalamaja Cemetery Park,59.45002119999999,24.7301912
404,Põhjala linnaaed,59.4557744,24.675678
405,Viimsi Koera treeningplats,59.50042790000001,24.8894805
406,Eesti Kommunismiohvrite memoriaal (The Memorial to Estonia’s Victims of Communism),59.45714279999999,24.8116646
407,Kopli Cemetery Park,59.4536539,24.6838099
408,Tädu campfire site,59.5134015,24.8979853
409,Maidla Lilled OÜ,59.4986173,24.8316536
410,Arctic Spas OÜ,59.5037244,24.826573
411,Tädu loodusõpperada (RMK),59.5203551,24.8953562
412,Juhani Puukool - Viimsi Istikuäri,59.49832669999999,24.8279489
413,Pirita Harbour Camping,59.4671451,24.8245121
414,Pirita terviserada,59.4633566,24.855573
415,Maarjamäe Kommunismiohvrite Memoriaal,59.4566501,24.8137212
416,Tallinn Botanic Garden,59.4698307,24.878362
417,Elkonte Grupp OÜ,59.50729320000001,24.82177
418,Viimsi mõisa park,59.50308579999999,24.8303986
419,Laidoneri Park,59.5018998,24.8310022
420,Tädu õpperada,59.50087629999999,24.8371109
421,Tädu campfire site,59.5134015,24.8979853
422,Soosepa raba,59.4975238,24.8621605
423,Pandju islet,59.5504682,24.78444739999999
424,Soosepa raba matkarada,59.49699999999999,24.8631
425,Merivälja park,59.4936174,24.8417815
426,Dogs' beach,59.4922266,24.8288724
427,Viimsi Koera treeningplats,59.50042790000001,24.8894805
428,Meriaia haljak,59.4906083,24.84053939999999
429,Pirita mets,59.46989860000001,24.8328934
430,Aegna loodusrada,59.573726,24.75716989999999
431,Konvoi 73 memoriaal,59.47056540000001,24.8666221
432,Sihiotsaalune,59.58357350000001,24.78023469999999
433,Tulekivi hiidrahn,59.58191590000001,24.7741956
434,Sharp-edged stone,59.5822967,24.7743918
435,Kultusekivi Aegnal hiidtahn,59.5820067,24.772985
436,Hansumäe giant boulders,59.4905175,24.9386587
437,Aegna saar,59.583956,24.75849789999999
438,Kloostrimetsa soo õpperada,59.466743,24.8889535
439,Pirita Jõe Ürgorg,59.46188060000001,24.8713376
440,Põhjarand,59.58558549999999,24.7498074
441,Eesti Kommunismiohvrite memoriaal (The Memorial to Estonia’s Victims of Communism),59.45714279999999,24.8116646
442,Maarjamäe kommunismiohvrite mälestusmärk,59.4567022,24.8129205
443,Kommunismiohvrite memoriaal ja ohvitseride mälestusmärk,59.45657000000001,24.8138918
444,Memorial to the Victims of Communism,59.4566269,24.8131935
445,Eesti Kommunismiohvrite Memoriaal,59.45566470000001,24.8110189
446,Iru Saun,59.45663259999999,24.9097181
447,Tallinn Birdsclub,59.48557109999999,24.707393
448,Priisle kogukonnaaed,59.4518105,24.8833036
449,Tädu loodusõpperada (RMK),59.5203551,24.8953562
450,Maidla Lilled OÜ,59.4986173,24.8316536
451,Park,59.48591090000001,25.023398
452,Arctic Spas OÜ,59.5037244,24.826573
453,Juhani Puukool - Viimsi Istikuäri,59.49832669999999,24.8279489
454,Kallavere koerte jalutusplats,59.4753158,25.0254162
455,Kallavere suur park,59.4720355,25.0218815
456,Pirita terviserada,59.4633566,24.855573
457,Pirita Harbour Camping,59.4671451,24.8245121
458,Tallinn Botanic Garden,59.4698307,24.878362
459,Elkonte Grupp OÜ,59.50729320000001,24.82177
460,Tädu campfire site,59.5134015,24.8979853
461,Viimsi Koera treeningplats,59.50042790000001,24.8894805
462,Hansumäe giant boulders,59.4905175,24.9386587
463,Soosepa raba matkarada,59.49699999999999,24.8631
464,Soosepa raba,59.4975238,24.8621605
465,Koerte jalutusplata,59.48675249999999,25.0170175
466,Tädu õpperada,59.50087629999999,24.8371109
467,Merivälja park,59.4936174,24.8417815
468,Viimsi mõisa park,59.50308579999999,24.8303986
469,Laidoneri Park,59.5018998,24.8310022
470,Meriaia haljak,59.4906083,24.84053939999999
471,Iru Saun,59.45663259999999,24.9097181
472,Dogs' beach,59.4922266,24.8288724
473,Kloostrimetsa soo õpperada,59.466743,24.8889535
474,Konvoi 73 memoriaal,59.47056540000001,24.8666221
475,Pirita Jõe Ürgorg,59.46188060000001,24.8713376
476,Pirita mets,59.46989860000001,24.8328934
477,Pandju islet,59.5504682,24.78444739999999
478,Priisle kogukonnaaed,59.4518105,24.8833036
479,Park Lasnamäe,59.4481779,24.8807609
480,Seli mets,59.44455749999999,24.8931286
481,Mäealuse maastikukaitseala,59.51583,24.8823594
482,Leppneeme-Tammneeme maastikukaitseala,59.5368039,24.8700192
483,Lubja klindiastangu maastikukaitseala,59.5150088,24.8436768
484,Krillimäe maastikukaitseala,59.5343471,24.8213049
485,Haabneeme-klindiastangu maastikukaitseala,59.511982,24.838672
486,Rohuneeme maastikukaitseala,59.5534,24.8184196
487,Pirita jõeoru maastikukaitseala,59.47145,24.8583562
488,Ülgase-Saviranna hoiuala,59.5007625,25.060349
489,Põhjarand,59.58558549999999,24.7498074
490,Aegna saar,59.583956,24.75849789999999
491,Sihiotsaalune,59.58357350000001,24.78023469999999
492,Sharp-edged stone,59.5822967,24.7743918
493,Kultusekivi Aegnal hiidtahn,59.5820067,24.772985
494,Tulekivi hiidrahn,59.58191590000001,24.7741956
495,Aegna loodusrada,59.573726,24.75716989999999
496,Pandju islet,59.5504682,24.78444739999999
497,"Aegna MKA, Kurikneeme sihtkaitsevöönd",59.5815835,24.7473467
498,Rohuneeme maastikukaitseala,59.5534,24.8184196
499,Sihiotsaalune,59.58357350000001,24.78023469999999
500,Sharp-edged stone,59.5822967,24.7743918
501,Tulekivi hiidrahn,59.58191590000001,24.7741956
502,Kultusekivi Aegnal hiidtahn,59.5820067,24.772985
503,Aegna saar,59.583956,24.75849789999999
504,Põhjarand,59.58558549999999,24.7498074
505,Aegna loodusrada,59.573726,24.75716989999999
506,Pandju islet,59.5504682,24.78444739999999
507,Prangli hoiuala,59.6292273,24.9915403
508,"Aegna MKA, Kurikneeme sihtkaitsevöönd",59.5815835,24.7473467
509,Rohuneeme maastikukaitseala,59.5534,24.8184196
510,Mõlgi kämping,59.61519999999999,25.0176
511,Prangli hoiuala,59.6292273,24.9915403
512,Prangli Nature Park,59.60652030000001,25.0802658
513,"Prangli MKA, Aksi sihtkaitsevöönd",59.5985453,25.0891071
514,Rohuneeme maastikukaitseala,59.5534,24.8184196
